Channel address;ISI mean (us);ISI mean std (us);Estimated freq. (Hz)
0;251.0905172413793;168.08326133969985;3982.6275041628764
1;98.559318346628;76.84729599620509;10146.174068321494
2;193.21772091921346;135.7072330243071;5175.508722712403
3;136.0623060236943;96.55773899041215;7349.574097515715
4;188.49135460009248;131.43857263559252;5305.283110313588
5;162.3033041401274;110.49338786989837;6161.304018411311
6;243.01245901639345;164.0236164152621;4115.015353729418
7;134.00687273923052;107.64062878056231;7462.303832326131
8;357.62667836770515;225.51264041374301;2796.2119732348897
9;254.13888369192395;170.4638011689001;3934.8563489097364
10;563.4380359612725;313.500081055159;1774.8180566012309
11;465.32792689891494;285.1787181431445;2149.0221028948345
12;878.9488673139159;273.71962934150406;1137.7226107088786
13;281.5559778852799;243.29094122915316;3551.6915943708022
14;1000.4341523341525;53.42841419090303;999.5660360722998
15;999.2184049079755;63.518652339305994;1000.7822064607552
16;860.0843881856541;279.3801616707504;1162.6766091051804
17;1001.6783783783785;42.84335446074798;998.3244338556098
18;807.2883168316832;321.74917388115773;1238.7148174330591
19;888.0237731733915;263.4092756555022;1126.0959787444165
20;1001.6706027060271;41.78278374782723;998.3321835526431
21;1001.6612546125463;43.461941467374594;998.3415005772698
22;979.9374247894103;126.53441547082207;1020.4733227888519
23;1001.6393120393122;43.51920615873201;998.3633709064646
24;1001.5972939729398;46.699871257393156;998.4052533063423
25;1001.5544895448955;48.04294250837025;998.4479231423526
26;1002.9017241379311;79.4540865465608;997.106671503207
27;1001.5511056511057;61.13367250550826;998.4512965515652
28;1001.5608856088562;72.39958882952439;998.4415469580691
29;1050.5715762273903;262.7633498101633;951.8627979551919
30;2113.4950649350653;996.5197098169043;473.14991011380664
31;3431.0236286919835;1371.13938309732;291.4582084592732
32;3347.40329218107;1404.0470120940513;298.7390262582999
33;3550.7056768558955;1401.4859161927197;281.6341569841089
34;3797.912149532711;1421.488052928602;263.3025622046151
35;4355.212903225807;1566.66297582904;229.6099001863543
36;4711.732558139535;1505.378000775567;212.23615467573524
37;5261.922077922078;1797.1554657163422;190.04462346483436
38;5420.608;1743.32528903893;184.48115045397122
39;6251.160000000001;2113.3867347713935;159.97030951055484
40;6893.206837606838;2312.574736763254;145.0703603646945
41;7228.373214285714;2425.1875477543026;138.34371446450237
42;8948.87777777778;2985.5008760034416;111.745855159989
43;9050.808988764045;3132.687038010893;110.48736099076127
44;11273.822535211268;4117.7899701618335;88.7010591905916
45;13358.786666666665;5021.315285575638;74.85709780029924
46;14328.899999999998;5058.109891338578;69.78902776905416
47;14873.825925925925;5209.569114768521;67.23219734990599
48;17084.71489361702;5969.223745783446;58.5318517883847
49;18441.269767441863;6208.851830775793;54.22620094010576
50;21453.61621621622;7589.321270992009;46.61218835657769
51;26451.266666666663;9907.59956805326;37.8053728995965
52;26638.61379310345;9182.009865613498;37.53949089719124
53;30978.640000000003;10669.494969416291;32.28030668873779
54;36188.68571428572;10276.59317804002;27.632946051015153
55;34746.736363636366;10722.358728357636;28.779681335670244
56;38358.1052631579;16766.886236158705;26.07010938469053
57;48686.62666666667;22137.768335809185;20.539521188159267
58;56507.81538461538;31096.351113517296;17.696667145837964
59;60830.98333333334;33174.805612639066;16.438991204865722
60;69834.24;34551.44843375454;14.319623153341396
61;88910.62222222223;35529.842576058596;11.24725004736342
62;75390.26666666666;30899.198095168165;13.264311750234778
63;75135.35555555556;29333.230885696514;13.30931347307718
