Channel address;ISI mean (us);ISI mean std (us);Estimated freq. (Hz)
0;183.92443836686851;128.04580773780347;5437.015379138091
1;94.86113853904284;57.38949347066595;10541.724624024211
2;121.19101441812565;73.55096341279541;8251.436831363279
3;109.3408362369338;57.232085311300736;9145.713846865698
4;141.99698340874812;81.6634856581839;7042.403127124405
5;129.97809997238332;65.5989666466724;7693.603770269544
6;176.43605697151426;108.91289163942918;5667.7757209312995
7;154.08648117839607;85.99808628722313;6489.862007051963
8;250.01540504648074;169.34246482252118;3999.7535344435623
9;249.81571125265393;162.62303885986907;4002.950795150906
10;566.3783393501806;440.3789592906675;1765.604244589092
11;492.7904712041885;385.05337427438707;2029.2600170542835
12;1166.1407682775714;696.6130562921471;857.5294057140574
13;510.83005968529574;423.9584373758682;1957.5981895350176
14;1619.6523235800344;635.2261437061503;617.416457496031
15;1841.3945205479454;442.11421708473625;543.066675197029
16;1259.6361445783132;715.9610868922305;793.8800456815796
17;1966.9924686192471;226.62890008408246;508.3903553031708
18;1327.9776836158194;716.5609001517414;753.0247024010214
19;1190.1774683544304;717.261194342792;840.2108312322746
20;2000.5176972281452;31.925605924925172;499.87060918559666
21;2000.4524520255864;33.604952856103736;499.8869125769202
22;1730.938745387454;562.3965835008968;577.721194735958
23;2000.2553191489365;36.35650668160557;499.9361783602093
24;1657.9954144620813;625.9744847030561;603.1379769071552
25;1934.5320987654322;306.511523958666;516.9208619687282
26;2000.396595744681;28.928475059395815;499.9008707209549
27;2000.405106382979;32.648985118133254;499.8987439139986
28;1987.515254237288;157.2222062565881;503.14079243822033
29;2000.261407249467;36.0672692837249;499.9346567282357
30;2000.3748936170211;50.23597557537837;499.9062941606052
31;1999.9114893617025;51.02484997334887;500.0221286388844
32;2000.3965957446812;73.46875894965679;499.9008707209548
33;1999.9391489361706;85.97515697163146;500.015213228828
34;1999.9395744680853;114.66511502664716;500.01510683939813
35;2051.9444201312913;404.3180694001707;487.3426347171802
36;3544.9825095057035;1661.9200233780018;282.08883889230685
37;6652.662411347519;2624.1697799180815;150.3157590402136
38;6462.075862068966;2479.085487343123;154.74903441938696
39;6841.816058394161;2536.1695072248513;146.16002410253478
40;7190.3658914728685;2474.780180434666;139.07498103620995
41;7929.415384615384;2541.109802389012;126.11270207135264
42;8744.549056603773;2741.313626858663;114.35695466135131
43;9187.5900990099;2748.8572452481876;108.84247003006425
44;9967.787096774195;3347.9677095096845;100.3231700568347
45;11596.7675;3732.91485429868;86.23092598864297
46;13151.608571428573;3987.5779103805758;76.03632624624082
47;14083.852307692308;5354.55757118271;71.00330067035854
48;17260.275471698114;5668.407149093027;57.93650290458645
49;18370.052;5512.916705020674;54.43642728937295
50;21640.361904761903;7684.141825398239;46.20994807762216
51;24236.967567567568;9630.69454894944;41.25928696369339
52;27279.06666666667;9364.966735421727;36.6581456843587
53;28169.95;8841.611427929869;35.498820551687174
54;34705.36923076923;12418.050138617049;28.813985333238175
55;34717.97692307692;10223.69953201901;28.803521651496443
56;42804.200000000004;15627.333947670038;23.36219342961672
57;47539.0105263158;14837.263364845425;21.03535578315072
58;66741.33846153846;28769.36677299817;14.983217643683872
59;71917.31666666667;28522.19055956937;13.904856943355554
60;72258.73333333332;30350.60606702203;13.839157619701796
61;87144.78;51668.31860987544;11.475156630150424
62;96235.73333333334;51461.89488448927;10.391150619035479
63;81231.33333333333;26624.62831189699;12.310520570879875
