Channel address;ISI mean (us);ISI mean std (us);Estimated freq. (Hz)
0;78.05125887669465;28.19343746519819;12812.093160211543
1;84.81478298991671;30.066960005330362;11790.397437188349
2;99.25200082084957;35.062345173192895;10075.363637303451
3;109.31158322974346;38.13584763983092;9148.161342593216
4;128.77390493942218;44.72100195239477;7765.548466286085
5;139.09033649698014;47.73732823021413;7189.5720808879605
6;161.14191936021328;56.56001302884931;6205.709873447771
7;171.8231302185113;60.489082375213435;5819.9382046426335
8;200.45401036269433;70.11051262321543;4988.6754482518745
9;220.518422252622;77.28055080050645;4534.768523123286
10;256.8622576361222;91.23667508715374;3893.1371592031487
11;281.12895348837213;102.40256752696284;3557.0864814582724
12;329.3817438692098;120.86911805507356;3035.9909697881676
13;352.599416484318;127.47168584663994;2836.079565788151
14;412.9919692439128;146.1490305851347;2421.354589123743
15;460.80743565300287;162.07734887427955;2170.103871225333
16;497.0388688946016;176.1537160315627;2011.915088701147
17;565.1357894736842;203.5019107194874;1769.4862343284055
18;612.1088719898606;221.99574525175242;1633.696301034115
19;679.1282303370787;247.62623007473533;1472.4759704123326
20;816.8520710059173;304.59469880982584;1224.2118683356512
21;903.125046728972;338.9716027429416;1107.2663786946218
22;991.124512820513;379.96912517506127;1008.9549668731626
23;1172.7626213592234;440.31080986326884;852.68747638035
24;1254.5465629053178;488.3096567546939;797.1007450565796
25;1434.006528189911;552.5862105373959;697.3468951095083
26;1678.2462608695653;625.934038043683;595.8601090413637
27;1882.2432748538013;722.2963934013932;531.280952552572
28;2049.276433121019;793.539263886769;487.9771141841582
29;2342.7165048543693;803.3437377547215;426.8548917156168
30;2629.523705722071;950.6659751195629;380.297008855221
31;2915.6545454545453;1091.081643666508;342.97616003891227
32;3053.5155555555552;1310.703760500357;327.4913724217332
33;3685.3885496183207;1471.490065389722;271.3418101067161
34;3973.035390946502;1612.8318396874522;251.69672595384776
35;4797.597000000001;1788.0248635270739;208.4376824481089
36;5016.2890052356015;1988.3147767255311;199.35055555138072
37;6014.256962025317;2407.847824693641;166.27157873601186
38;5865.360493827161;2769.387870398592;170.49250443385753
39;7458.82015503876;3163.959555582405;134.0694612839614
40;8517.384070796461;3772.4430883200293;117.40693993460953
41;9818.346938775512;4622.974501031179;101.85013895268955
42;12195.27848101266;4920.2027038018405;81.99894750718009
43;11066.269767441863;5854.074501537469;90.36468665729674
44;11342.311904761906;5761.540663940441;88.16544707963502
45;16442.689655172413;5270.655071525402;60.81730063459708
46;18698.32549019608;5826.190741001084;53.480724812728326
47;16965.24;7486.063751837943;58.944052662974414
48;21217.259090909094;6690.589246991837;47.131441234483844
49;16683.68928571429;10859.915153701684;59.93878109779161
50;19914.395744680853;11599.617373402612;50.21493058693988
51;33427.735714285714;13392.741343840338;29.915277796474825
52;38973.86956521739;14867.146195859976;25.658216932415144
53;30886.48;20062.79481797755;32.37662563037291
54;48888.88421052632;17864.425254715858;20.454547411918416
55;42214.77272727273;19968.17643163017;23.688389997038954
56;58050.4375;17184.924033468807;17.226399025847137
57;37115.4;26157.925800644058;26.94299401326673
58;61932.41428571429;14566.934402948216;16.146633576832258
59;48026.822222222225;16590.98203936756;20.821698245471165
60;66293.6;23121.19733145321;15.084412371631648
61;77255.45;32931.132330984816;12.944070612494007
62;84255.4181818182;36756.0463270471;11.868672918364243
63;65582.47142857143;43936.85679775385;15.247976756855545
