Channel address;ISI mean (us);ISI mean std (us);Estimated freq. (Hz)
0;73.32032093581284;26.38345734760081;13638.783726484704
1;80.27165257368033;29.195086845890067;12457.697928694228
2;98.89691514109438;36.11044202238016;10111.538854101957
3;111.15829922692133;40.6670348057306;8996.179385207892
4;131.20630703166938;48.23216373786757;7621.584835541703
5;143.51237340378688;51.78155310699632;6968.040290061936
6;168.07669302165695;60.25597679649543;5949.6648941751155
7;179.9882937603534;65.34972095568828;5555.916882747145
8;211.62640692640693;76.4076474186943;4725.308218967919
9;231.68464454976305;84.31768858200653;4316.211814310431
10;270.6820271392966;98.07301184913302;3694.371623297274
11;292.8959544501049;105.6475335307958;3414.1816737531994
12;340.66919860627183;122.73909210482542;2935.3989268508813
13;361.85307179866766;135.79702539328372;2763.5526072206253
14;422.88373702422143;158.9731893302368;2364.7161440562168
15;470.16036556036556;177.6885831993309;2126.9338575746165
16;510.97574490329333;194.51807478743052;1957.0400551776852
17;596.8056200366524;231.23962531935305;1675.587438232545
18;643.5483530961792;262.15975179595176;1553.8847938758513
19;727.1435591958302;289.64065054750256;1375.2442517759903
20;874.4579606440071;345.58821267621835;1143.5655514686327
21;983.5957703927494;368.91290105141456;1016.6778163357703
22;1054.7812095032398;420.4603987344536;948.0639122031388
23;1214.2838308457713;458.0177291179029;823.53068911696
24;1298.3686170212766;525.0849894472004;770.1972975087805
25;1456.0834575260806;580.4636548096354;686.773821123566
26;1775.4181818181821;685.2317744293575;563.2475831558249
27;1965.0625000000002;738.2085415733242;508.8896663592124
28;2069.7622080679407;851.1311060440727;483.14728914364963
29;2461.4262626262625;929.7613542602921;406.2685180473504
30;2571.9883905013194;1042.0090432924328;388.80424332128695
31;3121.9335463258785;1170.2701605266425;320.31431328090684
32;2862.327272727273;1416.2924140518342;349.36605940493433
33;3988.283265306122;1632.9635993560928;250.73444724925898
34;4175.837068965518;1837.4083421207345;239.4729448215111
35;5017.377202072539;1844.2911946522906;199.30731928764052
36;5218.129729729731;2051.3920939357445;191.63954362855492
37;6187.1;2412.865232988387;161.62661020510416
38;5685.142352941176;2881.0549903842525;175.8970906828139
39;8122.835000000001;3148.0571373110433;123.10972708420151
40;9197.256603773585;3544.50357327327;108.7280743683617
41;9042.111111111111;3998.539062868334;110.59364209439784
42;10987.375000000002;4064.681526584437;91.01354964220297
43;9214.758095238096;5497.1343236926805;108.52156829996106
44;10080.722916666668;5310.416028929199;99.19923484323525
45;15365.492063492064;5223.83689587443;65.08089658748835
46;16778.059649122806;6024.3735661487735;59.60164768232197
47;14731.818461538462;8936.600233179237;67.88028257412893
48;22763.152380952386;9349.668129766958;43.930646479209706
49;15707.911475409835;10643.736717348334;63.662187144704994
50;23499.285000000003;12731.483653909903;42.55448623224068
51;30924.720000000005;12993.246871981879;32.3365902747058
52;34398.35555555556;15668.939326917354;29.07115714833913
53;28726.43870967742;17613.096535316337;34.811137228198014
54;47212.64;20462.546813297708;21.180768539950318
55;31499.333333333336;26598.841689884834;31.746703633939337
56;49792.926315789475;22705.024907434086;20.08317393635283
57;23605.295000000002;25684.56448974705;42.36337652208964
58;67434.92857142858;24396.160485922745;14.829110391075417
59;41292.91818181818;34932.382427544435;24.217227651406656
60;89983.13333333335;41548.49305121265;11.1131938059503
61;43938.79090909091;43470.81014643263;22.75893303639133
62;115050.975;45066.260408362876;8.691799439335478
63;37591.48;37447.024411645856;26.60177252930717
