Channel address;ISI mean (us);ISI mean std (us);Estimated freq. (Hz)
0;73.31719066556614;26.035031164260747;13639.366033014901
1;80.25517864476386;29.00899144188363;12460.255112337773
2;98.98561588330632;35.82290409225549;10102.477931529924
3;110.57483023992758;39.8071155273768;9043.649425734402
4;130.70763879598664;47.390739585967154;7650.662265889734
5;142.57848803269118;51.95921150120738;7013.680771889758
6;167.54572898799316;61.097188876572424;5968.519794805769
7;179.3571585903084;66.45623696740317;5575.467451980672
8;209.7015668598412;77.05206243794902;4768.681583902388
9;230.04412526489287;84.93638702055098;4346.992120961632
10;267.82532894736846;98.2419901811859;3733.776801209547
11;294.23597469117203;107.35749031863011;3398.632682660891
12;343.0114506498069;126.87264196899505;2915.354569375403
13;361.93775472397186;134.32087844271246;2762.9060161536336
14;428.6325581395349;155.02806815204897;2333.0005642606015
15;476.97548828125;171.6664787502781;2096.543794322502
16;520.7070362473348;192.6883575296225;1920.4656945042739
17;601.4967980295567;222.69136452074736;1662.5192407937998
18;644.9491077329809;246.3914699380331;1550.5099363809272
19;731.2408102025506;286.3729353124392;1367.5385537125646
20;868.6572953736655;328.02475927266215;1151.2019818700026
21;967.6388503468781;368.0444452157636;1033.443417078098
22;1036.4414012738855;407.52139952062686;964.8398826705538
23;1237.4795944233208;456.90842812049505;808.094133031754
24;1289.8198412698414;520.0203960977339;775.3020755328816
25;1537.778233438486;572.5867394784225;650.2888246532083
26;1802.0927911275414;659.6103021666461;554.9103824860847
27;1977.487626774848;731.0645409479836;505.69216538205814
28;2074.3289361702127;811.2584518609896;482.0836187370927
29;2495.6920716112536;946.4259359770766;400.69045832019896
30;2589.232;1013.1391566097933;386.21490851341247
31;3111.810897435898;1116.713866553577;321.3562883348697
32;2915.105105105105;1332.9498784209209;343.0408043431233
33;3733.104615384615;1430.3577742251728;267.87355379189444
34;3908.037751004016;1831.3991831528085;255.8828915465541
35;4989.1866666666665;2078.443391117167;200.43347078615355
36;5174.572340425532;2237.78980419198;193.25268528717965
37;6566.251700680272;2301.4865857827444;152.29388783503362
38;5917.0763636363645;2724.5147117926576;169.00238201175517
39;7744.221138211382;2493.019959457278;129.12854400112877
40;8148.155555555556;2656.6753650549117;122.72716115712622
41;8051.180000000001;3503.5045728907844;124.2053959792229
42;10599.586666666668;3804.5457744709124;94.34330143691137
43;8480.242477876107;4857.48011233556;117.9211564538249
44;10990.054545454546;5597.998716970787;90.99135912965939
45;16184.94827586207;6380.941675458293;61.78580140978154
46;18047.415384615386;6886.477847631343;55.40959626010799
47;15915.745762711866;7783.483685633058;62.830860388763284
48;24061.394871794873;9695.480664614954;41.56035031752108
49;16769.10714285714;11206.969817418107;59.63346715367332
50;21107.03181818182;12463.499673770544;47.37757580573644
51;32193.46896551724;10343.798237661571;31.062200879038866
52;33391.52857142857;12189.558901806588;29.947715566865337
53;21760.227906976746;15375.998547091236;45.9554010314102
54;42628.200000000004;13791.262736305833;23.458649438634517
55;37533.304000000004;24510.447147230585;26.64300483645138
56;55268.32941176471;26456.39226713773;18.093544904346878
57;23998.12972972973;26603.997175397817;41.66991391671513
58;76913.72727272728;25921.933480674794;13.001580282985305
59;42607.13333333334;34446.93768922108;23.47024833087417
60;94175.82222222222;20828.05270066619;10.618436626338632
61;60188.58571428572;41124.81215717164;16.61444588093471
62;105829.35;21710.72241652727;9.449174543734795
63;56121.72;47001.34046274566;17.81841326317155
