Channel address;ISI mean (us);ISI mean std (us);Estimated freq. (Hz)
0;39.08083081633498;102.02648648397124;25587.992351022913
1;41.63023358307625;84.44032858830315;24021.003821763938
2;43.14356601805235;115.3185434039041;23178.427105018975
3;39.55632300231921;82.04912080409802;25280.408392392023
4;46.5225898572132;97.8593496701356;21494.93403246021
5;41.71233826864079;82.4073975046744;23973.721961106097
6;50.674181700334884;97.22948101219451;19733.915111122387
7;51.41691329606489;87.40801910102644;19448.853225433377
8;53.3103875440391;101.51758505340021;18758.07035118459
9;56.05290246071746;117.31331146619337;17840.289371291914
10;53.36690933909681;103.33932830997888;18738.203362048476
11;63.062353255069375;118.59749634268208;15857.321339647491
12;66.0082524610766;132.57932406640865;15149.620883989845
13;62.803051596065046;116.78628271710879;15922.793153934188
14;74.63689442954079;140.04666224222908;13398.19947819542
15;77.4477267101246;135.49235539590242;12911.934829834998
16;73.53354056574449;148.15859002938052;13599.236379838465
17;88.16249301285634;157.6905564189668;11342.691952394931
18;91.90122393028494;155.87777172351312;10881.247901100718
19;97.02925669389022;162.45420376248447;10306.169850963812
20;96.04274700750659;174.82335001750187;10412.03038394811
21;112.56976108403661;195.6885028241344;8883.380317858815
22;116.33187167100212;189.15009416678186;8596.096543757996
23;113.96131825835941;200.33886910165882;8774.907269262367
24;132.99884928431098;228.716411093956;7518.862045658041
25;138.22382966311798;235.99480275044226;7234.642553582989
26;132.48761878144214;245.10896685364293;7547.875108614092
27;156.27491760052735;264.699507315587;6398.9795378182025
28;163.02508591065293;275.422531233201;6134.025290733827
29;170.66347779176408;286.6759351767213;5859.4844833770185
30;168.53696732954546;292.1527744749598;5933.416364640462
31;193.2268267860778;328.6482941853812;5175.26482545358
32;202.4105218317359;345.8312214376067;4940.4546312631965
33;198.1131721550646;344.43993128944595;5047.619949355477
34;226.82905534351144;392.0112011384375;4408.606289373261
35;236.36728809346258;410.01518979492516;4230.703867975959
36;227.92503028834506;388.64278443074596;4387.407555611215
37;264.67762788083195;446.1679895588881;3778.1810574871797
38;277.32381513099796;461.47950462517457;3605.8929866071376
39;292.37908780639157;496.38899474296306;3420.2172511810522
40;288.3173447537473;495.0876361289054;3468.400421258398
41;326.20609207338185;547.8471804780638;3065.546672178779
42;340.4159682080925;571.7623086744512;2937.5825266478423
43;336.07054208273894;575.7599110077681;2975.5657660521906
44;384.0538931920098;655.4293500856198;2603.8012313549043
45;403.8067550235143;693.4701964419645;2476.4320744009556
46;394.09232693911594;697.045338747581;2537.476453213188
47;454.0319884726225;793.3212825359476;2202.4879862849107
48;475.36156941649904;825.9220064731375;2103.661853076362
49;503.0860489882855;894.2894179597577;1987.7315262687505
50;503.4523910733263;885.4852371463725;1986.2851338694968
51;574.0495157384988;1021.0662607567141;1742.010005379985
52;598.4445425867508;1084.5594325392972;1670.9986119641815
53;598.6445707070708;1121.6931392518925;1670.440272796395
54;678.3400572246065;1294.2792918475084;1474.1868615152239
55;712.419083395943;1373.011871005793;1403.6681825439362
56;693.3645680819913;1343.3545560367966;1442.242719102642
57;789.8440199335548;1515.2484182664307;1266.072762169073
58;821.537823834197;1606.2225403480159;1217.22940927163
59;860.4555656108598;1695.5347899032306;1162.1750616373479
60;860.8701818181819;1779.0698221930888;1161.6153296051816
61;948.6559679037111;1954.998800943894;1054.1229210940887
62;982.596261682243;2017.8191020568947;1017.7119932127171
63;987.7719958202717;2097.7538794470397;1012.3793792813228
