Channel address;ISI mean (us);ISI mean std (us);Estimated freq. (Hz)
0;25.18805037886545;55.48109936175952;39701.36572535485
1;29.354643357895053;60.89974074715726;34066.16077081536
2;30.48239857978828;59.652498002928226;32805.81734349022
3;30.212068684630673;59.69122119303751;33099.355440983585
4;37.43048177182434;73.22034206715372;26716.193665258845
5;35.114281635857544;71.37781462832223;28478.441061964746
6;39.919638231922214;97.0372232920435;25050.32721464741
7;41.37461662807463;97.60056391290884;24169.408238612003
8;44.65712341197822;87.02058472124834;22392.844043594927
9;46.85885322411658;92.32680965145784;21340.684442643076
10;44.99155457655716;95.93309948206314;22226.39358456509
11;51.340777890412426;103.26252189378386;19477.694750447947
12;54.60273045119041;105.65314069292829;18314.10245855569
13;52.91828215495574;110.14597679869607;18897.060888556283
14;61.47826521684789;118.68025755511547;16265.91115531272
15;64.29899359560842;123.77457736596796;15552.34295406296
16;61.89757815940115;119.89212548614728;16155.720946379508
17;71.99106881405565;139.20708865131664;13890.611939418219
18;75.0156297651723;139.22483446410223;13330.555287349898
19;79.19156539235414;147.35351768426733;12627.607435785692
20;78.59966453674123;149.86535736635574;12722.700610669304
21;88.33044182488976;166.77710248745922;11321.125303351759
22;92.07115402643669;172.966412137096;10861.165047555141
23;90.72528809809164;172.36050199258307;11022.285197031351
24;102.97511530398324;195.31081018653418;9711.084052180891
25;107.0813363804549;205.84995854646758;9338.69555425651
26;103.71822784810126;198.97556807015962;9641.506808856517
27;119.41546867411365;227.8713755109075;8374.124484065067
28;124.32187539491976;236.73536215060585;8043.63670370487
29;130.35805511393747;256.12080554371096;7671.179192769985
30;128.98210912906612;254.49071861346775;7753.013241544599
31;144.44324324324324;284.4809609085398;6923.134495920964
32;150.28416870415649;294.8878016195156;6654.060827714733
33;147.98962093862815;296.21323614945516;6757.230633185443
34;165.7633148054573;332.4468598111218;6032.6978932197235
35;171.81499475707795;344.237799512671;5820.213779442582
36;167.1890513430806;337.1096089734642;5981.252910801846
37;189.52578592092573;386.33989971319204;5276.326886818566
38;200.23897268650634;413.81333169839075;4994.032812811109
39;209.65102301790284;437.9285387603337;4769.831244346499
40;210.22164705882352;444.6941349918056;4756.884050671449
41;231.92768068020786;506.17436359597707;4311.688872441424
42;242.08493218249077;528.9341756191815;4130.781668171609
43;240.68374601618044;529.3516861384708;4154.829798655257
44;268.9251920965972;597.6213499962041;3718.506221762975
45;280.33924485125857;617.201240370031;3567.106705058639
46;273.141032759578;598.1457857211285;3661.112319510822
47;311.16168194751816;693.4869480018764;3213.7633198957456
48;323.7878827790583;719.3218579438554;3088.4417026883175
49;340.0525224602626;768.716644934424;2940.722194221796
50;341.63645833333334;761.0492938051692;2927.088065713127
51;380.603023255814;895.8347933450702;2627.4095025458373
52;396.6628085795225;936.9211845718934;2521.032923608519
53;397.95909090909095;945.8061755986112;2512.8210985596966
54;443.13408679927664;1083.3610579887393;2256.6533015388704
55;464.73651844843897;1133.0541001179606;2151.7568779371636
56;458.4367194780988;1146.3156044997065;2181.326140581489
57;509.34903995848475;1264.0649810034024;1963.2902421520348
58;526.4798927613941;1307.1974149612947;1899.4077717859018
59;547.1997765363128;1377.3054042030337;1827.486126419569
60;550.4797077009556;1461.9615853663258;1816.5973895321922
61;599.3487684729064;1671.5654090507296;1668.4776087017271
62;617.8781783681216;1748.242805296996;1618.4420084896033
63;616.495859473024;1734.7898851421135;1622.0709103460847
