Channel address;ISI mean (us);ISI mean std (us);Estimated freq. (Hz)
0;29.484960861930414;253.36114393832662;33915.595298997076
1;33.66023989941894;271.1245822466055;29708.641500717957
2;36.44284400632656;282.07834292620487;27440.229413115994
3;35.394777265745006;239.38290526325653;28252.755837166915
4;41.531631455399065;301.5751513697088;24078.03317512106
5;38.59718781646802;245.45181316693245;25908.62331097957
6;46.0142565245658;268.623136756279;21732.395034267833
7;46.966802540525165;282.42591128284323;21291.63464208902
8;48.95816205533597;288.33875135709934;20425.6033727273
9;51.542355081881986;296.1845966875444;19401.51936036615
10;49.94924906763432;280.5610360703737;20020.32099913933
11;57.38855324074074;313.4001029198543;17425.077712014692
12;59.7965612934363;320.3570935823681;16723.369678278927
13;58.159960100921204;316.23667933540486;17193.959525845014
14;66.96377516551817;387.37995568951004;14933.447188845657
15;69.97772444946358;396.46153225289373;14290.261763544178
16;67.05089261563431;387.98610245438243;14914.044556161944
17;78.07188410361388;357.170189093152;12808.708429180984
18;81.97759775150864;380.74034723632735;12198.454546462932
19;86.7873643682184;444.7393925061184;11522.414665771332
20;85.62745402745404;441.91039867256484;11678.49740901298
21;97.99867602015613;414.3031002512586;10204.219491642138
22;102.72155359917141;430.4449481554068;9735.055253370569
23;96.90790433725174;234.30074920186877;10319.07569190511
24;113.37770042928416;416.8984740691333;8820.07657778982
25;118.40494245911569;396.07173736701606;8445.59339526973
26;111.48048467901666;251.62413330689694;8970.179873897017
27;129.661525952026;292.1791399665254;7712.388024570943
28;135.0696499153021;354.86428011313933;7403.58770920831
29;142.1618424962853;415.2314880757737;7034.2363495051795
30;141.50980624168022;320.31361948282256;7066.648075908824
31;159.7230717863105;343.50353138218753;6260.836263767046
32;167.2477173342662;355.10327740194737;5979.154848501583
33;169.64113573407207;509.442494815576;5894.796658091179
34;192.16247309724125;605.6957748098041;5203.929694920003
35;194.444714952323;423.0411913238121;5142.849988209737
36;189.46320158102768;450.806688732932;5278.06978693079
37;222.1941309255079;684.1434435691428;4500.568920676204
38;225.4779684928286;488.91884334591623;4435.023105292016
39;238.80059760956178;510.9334463637986;4187.5942104424585
40;238.68362369337981;538.381126292928;4189.646463909188
41;273.49287496534515;758.0073406979317;3656.402383889204
42;286.11922408801394;781.911513745754;3495.0465254036453
43;278.29532927183055;607.4310264490056;3593.3050066507944
44;310.3033009708738;688.179529877091;3222.653438977962
45;323.81292929292937;779.6780633348798;3088.202815692312
46;315.2722149410223;700.6612509614721;3171.8621324973697
47;357.4804307463795;788.1578289493093;2797.3559221468736
48;373.2103835722588;845.7687018247542;2679.4538523507767
49;393.34177215189874;913.8544446782938;2542.3183368732707
50;390.72314552087556;932.2752097856417;2559.356955081055
51;436.3117753623189;1029.2045995621527;2291.9390593334024
52;452.90324400564174;1022.5873775266497;2207.977119253187
53;451.8025328330206;1088.8081200911038;2213.3563389508154
54;501.81177083333336;1241.3273423231071;1992.7790819640413
55;516.265166130761;1265.8796670476593;1936.9891009588616
56;506.10688935281837;1215.2862830737758;1975.8671953245785
57;567.5079532163743;1411.6669086169427;1762.0898426752603
58;595.3470588235294;1478.3618604166197;1679.692517463862
59;619.8295729764181;1522.545426446952;1613.3467062534714
60;620.0420918367347;1546.5560880991166;1612.7937331443513
61;681.5769985974755;1788.7728834559591;1467.185662159615
62;703.5485879797249;1893.4656815645403;1421.3659398728244
63;703.476989869754;1951.073794173326;1421.5106029056417
